PRK,TEAM,PUNTS,PUNTYDS,LNGPUNT,AVGPUNT,NETPUNT,PUNTSRET,PUNTRETY,PUNTRETAVG
1,Miami (OH),83,3764,84,45.3,36.7,15,139,9.3
2,Kansas,86,3695,78,43,39.3,18,203,11.3
3,Louisiana-Monroe,82,3668,77,44.7,39.1,16,127,7.9
4,Idaho,75,3587,65,47.8,40.8,24,131,5.5
5,Virginia,87,3528,77,40.6,36.4,33,235,7.1
6,Iowa State,84,3493,65,41.6,37.5,20,178,8.9
7,Virginia Tech,79,3491,64,44.2,37.3,44,206,4.7
8,Syracuse,84,3474,75,41.4,36.5,33,258,7.8
9,Rice,82,3429,66,41.8,35.9,21,132,6.3
10,Florida International,89,3421,70,38.4,36,17,153,9
11,Wake Forest,86,3414,59,39.7,36.4,21,126,6
12,New Mexico State,80,3376,73,42.2,38,14,91,6.5
13,BYU,85,3376,73,39.7,34.6,36,335,9.3
14,Georgia State,82,3344,80,40.8,36.3,16,142,8.9
15,Tulane,83,3316,62,40,35,30,132,4.4
16,Utah,76,3300,70,43.4,40.2,32,314,9.8
17,Hawaii,82,3291,62,40.1,38.8,25,186,7.4
18,Michigan State,76,3233,69,42.5,38.6,36,353,9.8
19,TCU,81,3226,57,39.8,36.6,26,299,11.5
20,West Virginia,73,3218,68,44.1,40.7,19,61,3.2
21,Oklahoma State,82,3201,62,39,34.9,30,403,13.4
22,Texas State,72,3160,66,43.9,38.3,20,284,14.2
23,Purdue,73,3158,73,43.3,41.7,10,97,9.7
24,Houston,73,3153,65,43.2,41.4,20,73,3.7
25,Boston College,76,3129,67,41.2,36.7,19,194,10.2
26,California,75,3115,70,41.5,34.5,21,57,2.7
27,Florida Atlantic,72,3077,64,42.7,37.6,33,204,6.2
28,Maryland,76,3063,64,40.3,35.8,19,204,10.7
29,Western Michigan,77,3056,62,39.7,33.9,11,89,8.1
30,Texas,76,3053,68,40.2,37.8,31,355,11.5
31,Pittsburgh,71,3017,57,42.5,34.5,16,169,10.6
32,Southern Miss,76,3009,62,39.6,33.1,12,161,13.4
33,Nebraska,71,2954,64,41.6,37.9,23,70,3
34,Duke,69,2945,72,42.7,37.8,28,408,14.6
35,South Florida,73,2937,68,40.2,36.4,14,198,14.1
36,Wyoming,70,2933,64,41.9,36.7,19,78,4.1
37,USC,79,2928,64,37.1,34.5,31,425,13.7
38,North Carolina,68,2909,76,42.8,40.3,30,544,18.1
39,Buffalo,74,2908,64,39.3,36,10,60,6
40,Utah State,73,2903,64,39.8,37.9,36,372,10.3
41,North Carolina State,68,2859,66,42,37.9,21,275,13.1
42,Colorado State,70,2851,69,40.7,35,21,279,13.3
43,Tulsa,74,2830,63,38.2,34.2,22,154,7
44,Connecticut,73,2820,60,38.6,35.1,20,62,3.1
45,Kentucky,69,2807,59,40.7,36.7,22,136,6.2
46,Tennessee,64,2801,69,43.8,38.5,16,143,8.9
47,Memphis,63,2800,79,44.4,41,27,204,7.6
48,Missouri,68,2790,61,41,36.6,25,168,6.7
49,Akron,66,2789,65,42.3,38.2,22,72,3.3
50,North Texas,69,2773,61,40.2,36,32,457,14.3
51,Middle Tennessee,66,2748,70,41.6,34.9,17,114,6.7
52,Oklahoma,67,2746,56,41,34.5,23,326,14.2
53,Texas Tech,65,2741,60,42.2,34.7,31,212,6.8
54,UNLV,65,2719,73,41.8,36,16,52,3.3
55,Vanderbilt,63,2694,75,42.8,39.1,23,88,3.8
56,Minnesota,62,2687,62,43.3,37,19,170,8.9
57,Colorado,67,2673,56,39.9,36,9,45,5
58,Rutgers,65,2640,58,40.6,36,19,216,11.4
59,Nevada,60,2626,68,43.8,36.9,16,124,7.8
60,Eastern Michigan,68,2616,59,38.5,32.9,8,59,7.4
61,Troy,60,2615,77,43.6,39.8,12,149,12.4
62,Temple,61,2609,67,42.8,40,19,95,5
63,Iowa,65,2598,55,40,37.5,24,337,14
64,Louisiana Tech,69,2594,53,37.6,37,23,103,4.5
65,UTEP,67,2589,73,38.6,36.2,16,87,5.4
66,Arkansas State,64,2580,63,40.3,36.5,21,184,8.8
67,Massachusetts,69,2572,57,37.3,34.6,12,147,12.3
68,Michigan,62,2527,69,40.8,37.2,18,114,6.3
69,Ohio,65,2517,59,38.7,36.4,34,315,9.3
70,Washington,62,2506,61,40.4,38.1,14,77,5.5
71,Northwestern,70,2504,61,35.8,33.2,9,64,7.1
72,Miami (FL),54,2498,71,46.3,39.3,24,280,11.7
73,Fresno State,59,2486,69,42.1,40.7,24,278,11.6
74,Washington State,64,2471,68,38.6,35.7,21,188,9
75,Arizona State,65,2428,59,37.4,33.2,36,206,5.7
76,Kent State,59,2417,62,41,39.2,17,66,3.9
77,UAB,56,2396,63,42.8,37.1,10,117,11.7
78,Auburn,56,2385,58,42.6,40.5,28,366,13.1
79,Baylor,53,2379,72,44.9,38.4,27,245,9.1
80,SMU,63,2372,58,37.7,31.3,17,134,7.9
81,Clemson,60,2369,56,39.5,37.7,29,242,8.3
82,Marshall,58,2366,65,40.8,35.7,35,431,12.3
83,Arkansas,53,2358,79,44.5,39,9,67,7.4
84,Arizona,58,2299,61,39.6,37.4,23,166,7.2
85,UCLA,55,2292,67,41.7,39.4,18,100,5.6
86,Ole Miss,51,2266,75,44.4,37.7,16,113,7.1
87,Oregon State,56,2243,67,40.1,36.7,18,103,5.7
88,Central Michigan,52,2241,77,43.1,36.6,18,118,6.6
89,Stanford,52,2230,60,42.9,38.1,18,147,8.2
90,San Diego State,57,2214,56,38.8,36.3,19,212,11.2
91,Louisiana-Lafayette,53,2210,59,41.7,36.5,15,157,10.5
92,Ohio State,49,2156,71,44,40.8,29,244,8.4
93,New Mexico,47,2152,61,45.8,39.6,11,33,3
94,Boise State,53,2141,67,40.4,39.6,23,361,15.7
95,South Alabama,53,2126,56,40.1,35.5,17,104,6.1
96,UTSA,54,2117,60,39.2,35.9,10,52,5.2
97,Indiana,53,2110,57,39.8,37.1,10,130,13
98,Illinois,51,2094,66,41.1,38,19,213,11.2
99,Penn State,55,2086,66,37.9,35.4,21,173,8.2
100,Florida,51,2085,61,40.9,36.8,22,228,10.4
101,Texas A&M,44,2085,76,47.4,40.7,20,147,7.4
102,San José St,48,2082,65,43.4,37.4,10,52,5.2
103,Northern Illinois,53,2071,56,39.1,37,20,161,8.1
104,Mississippi State,51,2053,62,40.3,36.8,22,82,3.7
105,Notre Dame,52,2045,56,39.3,34.7,14,101,7.2
106,Wisconsin,53,2045,58,38.6,35.7,28,208,7.4
107,Bowling Green,49,2025,67,41.3,37.1,15,215,14.3
108,East Carolina,47,2013,57,42.8,36.6,30,308,10.3
109,Cincinnati,48,1988,62,41.4,33,29,162,5.6
110,Kansas State,48,1986,67,41.4,36.6,16,200,12.5
111,Georgia Tech,45,1902,66,42.3,37.6,19,160,8.4
112,Army,51,1901,55,37.3,34.4,14,47,3.4
113,Air Force,49,1895,57,38.7,36.7,7,23,3.3
114,Toledo,47,1886,57,40.1,37,11,100,9.1
115,Alabama,40,1875,63,46.9,42.4,25,335,13.4
116,Ball State,46,1872,62,40.7,37.2,9,42,4.7
117,Georgia,44,1808,61,41.1,39.2,25,73,2.9
118,LSU,43,1765,58,41,38.1,23,172,7.5
119,South Carolina,47,1741,55,37,34.1,22,83,3.8
120,Florida State,42,1725,59,41.1,34.5,34,340,10
121,UCF,43,1714,71,39.9,35.4,18,194,10.8
122,Oregon,43,1681,63,39.1,38.5,21,269,12.8
123,Navy,40,1657,62,41.4,37.1,10,74,7.4
124,Louisville,41,1650,54,40.2,37.4,27,206,7.6
